[2023.05.27 13:28:22.792] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.793] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:22.920] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:22.943] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.946] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.948] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.950] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:23.065] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:23.087] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:23.090] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:23.091] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:23.092] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:29.857] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:29.870] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:29.872] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:29.874] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:29.876] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:30.171] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:30.185] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.187] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.189] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.190] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:30.315] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:30.325] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.327] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.329] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:30.330] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:34.771] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:34.784] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.786] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.787] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.788] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:34.969] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:34.982] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.983] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.985] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:34.987] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:35.154] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:35.167] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:35.170] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
