[2023.05.28 00:04:57.903] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.904] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:58.239] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:58.252] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:58.253] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:58.254] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:58.255] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:16.031] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:16.057] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.058] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.060] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.061] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:16.736] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:16.746] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.747] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.748] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:16.749] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.007] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.019] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.020] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.021] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.022] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.174] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.186] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.187] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.189] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.190] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.342] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.354] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.355] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.356] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.356] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.575] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.590] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.591] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.592] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.593] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.764] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.774] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.776] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.776] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.777] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:17.919] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:17.930] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.932] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.933] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:17.935] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:18.084] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:18.094] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:18.095] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:18.096] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:18.097] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:20.580] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:20.582] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:20.583] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.681] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:35.695] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.696] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.698] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.700] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:35.889] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:35.899] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.900] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.902] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:35.904] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:36.085] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:36.094] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:36.096] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:36.097] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:36.099] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:46.968] [HTTP] /Visualization.page/StandardData2 (Method: GET, IP: ::1)
[2023.05.28 00:05:46.969] [Error:404] /Visualization.page/StandardData2/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\StandardData2'/n
[2023.05.28 00:05:48.285] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.28 00:05:48.296] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:48.299] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:48.301] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:48.302] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:55.977] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:55.988] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:55.989] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:55.990] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:55.991] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:05:56.719] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:05:56.731] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:05:56.733] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:05:56.734] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:05:56.735] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:11.320] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:11.334] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.335] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.337] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.338] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:11.799] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:11.818] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.820] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.821] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:11.822] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:12.040] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:12.053] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.054] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.055] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.056] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:12.270] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:12.281] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.283] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.285] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:12.285] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:15.168] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:15.181] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.182] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.183] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.184] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:15.447] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:15.459] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.460] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.462] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:15.463] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:32.402] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:32.416] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:32.417] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:32.420] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:32.421] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:49.268] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:49.283] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:49.284] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:49.285] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:49.287] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:50.174] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:50.187] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:50.189] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:50.190] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:50.191] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:06:52.183] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:06:52.196] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:06:52.197] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:06:52.198] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:06:52.199] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:05.728] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:05.740] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:05.741] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:05.744] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:05.745] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:06.037] [HTTP] /Main.page (Method: GET, IP: ::1)
