[2023.05.09 16:39:11.412] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:39:11.414] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:39:25.795] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:39:25.805] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:39:25.807] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:39:25.808] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:39:43.167] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:39:43.192] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:39:43.194] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:39:43.196] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:39:53.936] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:39:53.953] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:39:53.955] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:39:53.957] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:03.078] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:03.092] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:03.094] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:03.097] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:04.468] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:04.482] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:04.484] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:04.485] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:04.927] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:04.937] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:04.943] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:04.944] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:05.385] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:05.398] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:05.401] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:05.403] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:11.251] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:11.268] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:11.270] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:11.271] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:15.381] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:15.395] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:15.397] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:15.398] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:16.088] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:16.105] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:16.107] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:16.111] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:40:25.862] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:40:25.878] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:40:25.881] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:40:25.884] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:42:32.621] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:42:32.634] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:42:32.636] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:42:32.638] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:42:59.845] [HTTP] /main2 (Method: GET, IP: ::1)
[2023.05.09 16:43:01.503] [HTTP] /main2 (Method: GET, IP: ::1)
[2023.05.09 16:44:29.029] [HTTP] /main2 (Method: GET, IP: ::1)
[2023.05.09 16:44:33.768] [HTTP] /main2 (Method: GET, IP: ::1)
[2023.05.09 16:46:40.723] [HTTP] /main2 (Method: GET, IP: ::1)
[2023.05.09 16:46:48.104] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:46:48.120] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:46:48.122] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:46:48.124] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:47:23.850] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:47:26.074] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:47:31.567] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:47:31.583] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:47:31.584] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:47:31.586] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:47:40.019] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:48:07.640] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:48:08.461] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:48:09.788] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:50:07.506] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:50:08.225] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:50:08.633] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:50:08.803] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:51:10.941] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:51:11.685] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:51:14.937] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:51:14.955] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:51:14.957] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:51:14.958] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:51:46.954] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.09 16:51:48.162] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.09 16:51:48.412] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.09 16:51:48.538] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.09 16:54:21.177] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:54:21.194] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:54:21.197] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:54:21.200] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:54:29.338] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:56:39.273] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:56:40.014] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:56:44.872] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:56:44.891] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:56:44.894] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:56:44.895] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:56:51.324] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:58:31.984] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:58:32.794] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.09 16:58:35.624] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:58:35.643] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:58:35.646] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:58:35.647] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:58:38.432] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:58:38.442] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:58:38.444] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:58:38.445] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:58:50.616] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:58:50.626] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
