[2023.05.13 17:32:10.324] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:32:10.325] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:32:10.326] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:32:24.026] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:32:24.038] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:32:24.040] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:32:24.041] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:36:57.399] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:36:57.414] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:36:57.415] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:36:57.416] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:37:27.180] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:37:27.196] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:37:27.198] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:37:27.198] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:38:14.182] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:38:14.194] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:38:14.196] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:38:14.197] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:38:15.308] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:38:15.319] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:38:15.320] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:38:15.322] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:38:31.180] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:38:31.193] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:38:31.196] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:38:31.197] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:38:46.276] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:38:46.294] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:38:46.295] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:38:46.297] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:39:00.365] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:39:00.381] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:39:00.383] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:39:00.384] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:40:50.047] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:40:50.059] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:40:50.061] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:40:50.065] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:41:26.613] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:41:26.630] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:41:26.632] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
