[2023.05.23 14:09:46.907] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:09:46.914] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:09:46.917] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:09:46.919] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:21:16.703] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 14:21:16.731] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:21:16.733] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:21:16.736] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:21:16.739] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:21:23.005] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 14:21:23.023] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:21:23.027] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:21:23.029] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:21:23.031] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:22:20.879] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 14:22:20.904] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:22:20.907] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:22:20.909] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:22:20.913] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:24:11.872] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 14:24:11.882] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:24:11.886] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:24:11.888] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:24:11.890] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:24:12.883] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 14:24:12.899] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:24:12.902] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:24:12.904] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:24:12.906] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 15:08:37.374] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.23 15:09:04.776] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 15:09:04.803] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 15:09:04.810] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 15:09:04.814] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 15:09:04.863] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 15:09:05.327] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.23 15:09:05.337] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\younghyeon\Desktop\dgcatholic2\favicon.ico'/n
[2023.05.23 15:09:27.301] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 15:09:27.327] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 15:09:27.331] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 15:09:27.335] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 15:09:27.339] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
