[2023.05.18 15:01:56.522] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:01:56.523] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:02:46.264] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:02:46.280] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:02:46.281] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:02:46.284] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:02:46.286] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:02:57.576] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:02:57.590] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:02:57.591] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:02:57.593] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:02:57.594] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:03:31.437] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:03:31.466] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:03:31.477] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:03:31.478] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:03:31.479] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:16:03.011] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:16:03.028] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:16:03.029] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:16:03.031] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:16:03.032] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:18:32.146] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:18:32.157] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:18:32.159] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:18:32.162] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:18:32.164] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:18:48.786] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:18:48.800] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:18:48.803] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:18:48.805] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:18:48.808] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:22:09.463] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:22:09.477] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:22:09.479] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:22:09.480] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:22:09.482] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:22:28.370] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:22:28.384] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:22:28.385] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:22:28.387] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:22:28.390] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:23:05.097] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:23:05.111] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:23:05.112] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:23:05.114] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:23:05.115] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:23:06.446] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:23:06.460] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:23:06.462] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:23:06.463] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:23:06.464] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:23:10.281] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:23:10.295] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:23:10.297] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:23:10.298] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
